FuelType,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
A2,,,,,,,,,,,,,,,,,7;9,8;9;10,8,8;9,9;10;11,9;11;14,9,10;11;12,10;12,11;13,11;12,10;11;12,9;11,9;14,10;12,10;11,10;12,9;10;11,9;10;11;14,9,9;10,9;10;11;12,10;11;12,10;12,10;11,9;10;11,9;10;11,9,9;10;11,9;10;11;12,10,9;10,10;11;12,10;11,,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,8;9;10,8;9;11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10;11,,,,,,,,,,,,,,,,,,,,,,
A4,9;11;13;15,11;12;13,10,10;12,8;10,8;10,7,7;9,7;10,8;9;10,7;9;10,7;8;9,6;7,8;9;10;11;13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,12;15,13,12;13,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,6;7,7;8,8,7,8;9,8,8,9,9;10,10,10,9;10,8;9,9,9,9,9,8,8,8,8,9,9,9,9,8;9,8,8;9,9,9,8;9,9,10,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,10;13;14,10;11,10,10,8;9,8,7,7;8,7;8,7,7;8,6,6,8;9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,,,,,,,,,,,,,,,,,3;6,7;8;9,4;8;9,4;7;9,5;9,8;9;10,8;9;10,9,9;10;11,10;11;12,10,9;10,8;9,9;10,6;9;11,9;10;8,6;8;9;10,5;8;10,5;8,8;9;10,8;9;10,9;11,6;9;10,9;10;11,9;10;11,8,8;9;10,8;9;10,9;10,9,9;10,9;10;11,10;11,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,8,7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,10,10,,7;8,7;8,7,7;8,7,7,6;7,6;7;8,6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F5,13,10;11,10;11,10,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,9;10,9,9;10;11,9;10;11,9;13,9;12,9,9;11,10;13;14,10;11,11;12;13,10;11;12;13;14,10;11;12;13,12;14,10;12,10;12;13,11;12;13,10;11,10;11;12,10;11;12,9;10,9;10;11,9;10;11;12,10;13,11;12,11;12,10;13,10;11,9;10;11,10;11;12,10,11;12,8;12;13;14,13;15,12,12;13;14,11;12;13,10;11,11;12;13,9;11,9;11,10;11,10;11;12,10;11,9;10;13,10;11;12,10;12;13,10;13,10;11,10,,,,,,,,,,,,,,,,,,,,,,
A,9;11;13;15,11;12;13,10,10;12,8;10,8;10,7,7;9,7;10,8;9;10,7;9;10,7;8;9,6;7,8;9;10;11;13,8;9;10,8;9;11,7;9,8;9;10,8,8;9,9;10;11,9;11;14,9,10;11;12,10;12,11;13,11;12,10;11;12,9;11,9;14,10;12,10;11,10;12,9;10;11,9;10;11;14,9,9;10,9;10;11;12,10;11;12,10;12,10;11,9;10;11,9;10;11,9,9;10;11,9;10;11;12,10,9;10,10;11;12,10;11,,,,,,,,,,,,,,,,,,,,,,
D,10;13;14,10;11,10,10,8;9,8,7,7;8,7;8,7,7;8,6,6,8;9,8,8,6;7,7;8,8,7,8;9,8,8,9,9;10,10,10,9;10,8;9,9,9,9,9,8,8,8,8,9,9,9,9,8;9,8,8;9,9,9,8;9,9,10,,,,,,,,,,,,,,,,,,,,,,,
F,13,10;11,10;11,10,8,7;8,7;8,7;8,7;8,7,7,6;7,6;7;8,6;7;8,8,7;8,3;6,7;8;9,4;8;9,4;7;9,5;9,8;9;10,8;9;10,9,9;10;11,10;11;12,10,9;10,8;9,9;10,6;9;11,9;10;8,6;8;9;10,5;8;10,5;8,8;9;10,8;9;10,9;11,6;9;10,9;10;11,9;10;11,8,8;9;10,8;9;10,9;10,9,9;10,9;10;11,10;11,,,,,,,,,,,,,,,,,,,,,,,
