Type,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/13;07/14;07/14;07/14;07/14;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13,07/18;07/18;07/18;07/17;07/17;07/17;07/17;07/17;07/17;07/19;07/19;07/19;07/19;07/19;07/19;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17,,,08/03;08/04;08/04;08/03;08/03;08/03;07/31;07/31;07/31;07/31;07/31;07/31;07/31;07/30;07/30;07/30;07/30,,,08/18;08/17;08/17;08/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/11;07/12;07/11;07/11;07/11;07/12;07/12;07/11;07/11;07/11;07/11;07/10;07/10;07/10;07/10;07/11;07/11;07/13;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11;07/11,07/16;07/18;07/16;07/16;07/16;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/16;07/16;07/16;07/16;07/16;07/16;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/16;07/17,07/21;07/21;07/21;07/21;07/22;07/22;07/22;07/22;07/22;07/21;07/21;07/22;07/22;07/22;07/22;07/21;07/22;07/21;07/21;07/21;07/21;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/21;07/22,07/28;07/27;07/27;07/28;07/28;07/28;07/28;07/26;07/28;07/27;07/27;07/27;07/27;07/26;07/25;07/26;07/26;07/26;07/26;07/26;07/26;07/26;07/26;07/26,08/01;08/02;08/02;08/02;08/02;08/02;08/01;07/31;07/31;07/31;07/31;07/31;07/31;07/30;07/30;07/30;07/30,08/06;08/08;08/07;08/07;08/07;08/06;08/05;08/05;08/05;08/05;08/05;08/05;08/05;08/05;08/05;08/04,08/11;08/11;08/11;08/11;08/11;08/11;08/11;08/11;08/10;08/10,08/16;08/16;08/15;08/15,08/21;08/21,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/17;07/17;07/17;07/17;07/16;07/17;07/17;07/17;07/17;07/17;07/17;07/16;07/16;07/16;07/16;07/16;07/16;07/16;07/16;07/16,07/23;07/23;07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/21;07/21;07/21;07/21;07/21;07/21;07/21;07/21,07/29;07/29;07/29;07/29;07/29;07/29;07/27;07/29;07/28;07/28;07/28;07/28;07/27;07/26;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27,,08/09;08/09;08/09;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/06;08/05;08/06;08/05,08/12;08/12,08/17;08/17;08/16;08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/13;07/15;07/14;07/14;07/13;07/13;07/13;07/14;07/14;07/14;07/14;07/14;07/14;07/15;07/14;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/14;07/15,07/18;07/18;07/18;07/17;07/17;07/18;07/18;07/18;07/17;07/19;07/19;07/19;07/19;07/19;07/19;07/17;07/17;07/18;07/18;07/18;07/18;07/17;07/17;07/17;07/17;07/18;07/18;07/18,07/23;07/23;07/24;07/24;07/25;07/25;07/25;07/24;07/23;07/23;07/23;07/23;07/23;07/23;07/24;07/24;07/24;07/23;07/23;07/23;07/23;07/23;07/23;07/22;07/22;07/22;07/22;07/23;07/23;07/23;07/24,07/30;07/30;07/30;07/30;07/30;07/30;07/28;07/30;07/30;07/30;07/30;07/30;07/29;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28,08/03;08/04;08/04;08/04;08/04;08/04;08/03;08/02;08/03;08/03;08/02;08/02;08/02;08/02;08/01;08/01;08/01,08/08;08/07;08/07;08/07;08/08;08/08;08/08;08/07;08/07;08/07;08/07,08/13;08/13;08/13;08/13;08/13;08/13;08/13;08/12;08/12;08/12,08/18;08/18;08/18;08/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/24;07/24;07/24;07/24;07/24;07/23;07/23;07/23;07/23;07/23;07/23;07/23;07/23;07/23;07/23,07/30;07/30;07/30;07/30;07/29;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/21;07/21;07/21;07/21;07/22;07/22;07/22;07/22;07/22;07/23;07/23;07/23;07/23;07/23;07/23;07/24;07/24;07/24;07/23;07/23;07/23;07/23;07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/23,,07/31;08/04;08/04;08/03;08/03;08/03;08/03;08/03;08/03;08/02;08/02;08/02;08/02;08/02;08/01;08/02;08/01,,,,08/21;08/21,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/13;07/15;07/13;07/13;07/13;07/13;07/13;07/14;07/14;07/14;07/14;07/14;07/14;07/15;07/14;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/15;07/15,07/18;07/18;07/18;07/17;07/17;07/18;07/18;07/18;07/17;07/19;07/19;07/19;07/19;07/19;07/19;07/17;07/17;07/18;07/18;07/18;07/18;07/17;07/17;07/17;07/17;07/20;07/20;07/20,07/28;07/23;07/23;07/23;07/23;07/23;07/23;07/24;07/24;07/24;07/23;07/23;07/23;07/23;07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/26;07/26,07/31;07/30;07/30;07/30;07/30;07/30;07/29;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28,08/04;08/04;08/03;08/03;08/03;08/03;08/02;08/03;08/02;08/02;08/02;08/02;08/02;08/01;08/01;08/01,08/08;08/07;08/07;08/07;08/08;08/08;08/08;08/07;08/07;08/07;08/07,08/13;08/13;08/13;08/13;08/13;08/13;08/13;08/12;08/12;08/12,08/18;08/18;08/17;08/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/10;07/09;07/10;07/10;07/10;07/10;07/09;07/09;07/09;07/09;07/09;07/10;07/10;07/09;07/09;07/09;07/10;07/10;07/09;07/10;07/10;07/10;07/10;07/10;07/10;07/10;07/10;07/10;07/10;07/10;07/11;07/11;07/11,07/15;07/15;07/15;07/15;07/15;07/14;07/14;07/15;07/15;07/15;07/15;07/15;07/14;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/15;07/16;07/17;07/18;07/18;07/18,07/19;07/19;07/19;07/20;07/19;07/19;07/19;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/21;07/21;07/21;07/21;07/21;07/22;07/23,07/24;07/24;07/24;07/24;07/24;07/25;07/24;07/24;07/24;07/24;07/24;07/24;07/25;07/25;07/25;07/25;07/25;07/25;07/25;07/25;07/25;07/26;07/26;07/26;07/26;07/26;07/26;07/26;07/26,07/29;07/29;07/29;07/29;07/29;07/29;07/29;07/30;07/30;07/30;07/30;07/30;07/30;07/30;07/30;07/30;07/31;07/31;07/31;07/31;07/31;07/31;07/31;07/31,08/04;08/04;08/04;08/04;08/04;08/04;08/04;08/04;08/04;08/05;08/05;08/05;08/05;08/05;08/05;08/05;08/05,08/08;08/09;08/09;08/09;08/09;08/09;08/09;08/09;08/09;08/09;08/10;08/10;08/10;08/10,08/15;08/15;08/15;08/15;08/15;08/14;08/15;08/15,08/21;08/21,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/13;07/13;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12,07/18;07/17;07/18;07/18;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/16;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/18;07/18;07/18;07/18,07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/21;07/21;07/21;07/21;07/21;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/23;07/23;07/23;07/23;07/23;07/23;07/23,07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/28;07/28;07/28;07/28,08/01;08/01;08/01;08/01;08/01;08/02;08/01;08/01;08/01;08/02;08/02;08/01;08/01;08/01;08/02;08/01;08/01;08/01;08/01;08/01;08/01;08/02,08/06;08/06;08/06;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07,08/12;08/13;08/13;08/12;08/12;08/12;08/12;08/12;08/12;08/12,08/19;08/18;08/18;08/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/13;07/13;07/13;07/13;07/13;07/12;07/12;07/12;07/12;07/12;07/12;07/14;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/13;07/14;07/15,07/18;07/18;07/18;07/18;07/17;07/17;07/18;07/15;07/15;07/15;07/15;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/18;07/18;07/18;07/18;07/18;07/18;07/18;07/18;07/18;07/19;07/19;07/19;07/19;07/21,07/23;07/23;07/22;07/22;07/22;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/20;07/21;07/21;07/21;07/21;07/21;07/24;07/24;07/24,07/28;07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/25;07/25;07/25;07/27;07/27;07/27;07/28;07/28;07/27;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28,08/02;08/02;08/02;08/02;08/02;08/02;08/02;08/02;08/02;07/30;08/02;08/02;08/02;08/02;08/02;08/02;08/03,08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/04;08/05;08/05;08/05;08/05;08/05;08/07;08/07;08/07,08/13;08/14;08/13;08/13;08/13;08/13;08/13;08/12;08/13;08/12,08/14;08/15;08/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/13;07/13;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/13;07/13;07/13;07/13;07/13,07/18;07/18;07/18;07/18;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/18;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/18;07/18;07/18;07/18,07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/23;07/23;07/23;07/23;07/23;07/23;07/23;07/23;07/24,07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/28;07/28;07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/28;07/28;07/28;07/28;07/28;07/28;07/28;07/28,08/01;08/01;08/01;08/01;08/01;08/02;08/02;08/02;08/02;08/02;08/02;08/02;08/01;08/01;08/02;08/02;08/02;08/02;08/02;08/02;08/02;08/02,08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07;08/07,08/12;08/13;08/13;08/13;08/13;08/13;08/13;08/12;08/12;08/12,08/19;08/19;08/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/13;07/13;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12,07/18;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/16;07/16;07/16;07/16;07/16;07/16;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/17;07/18;07/18;07/18;07/18,07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/21;07/21;07/21;07/21;07/21;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/23;07/23;07/23;07/23;07/23;07/23;07/23,07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/28;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27;07/27,08/01;08/01;08/01;08/01;08/01;08/02;08/01;08/01;08/01;08/01;08/01;08/01;08/01;08/01;08/02;08/01;08/01;08/01;08/01;08/01;08/01;08/02,08/06;08/06;08/06;08/07;08/07;08/06;08/07;08/07;08/07;08/07;08/06;08/07;08/06,08/12;08/13;08/13;08/12;08/12;08/12;08/12;08/12;08/12;08/12,08/19;08/18;08/18;08/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/13;07/13;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/12;07/13;07/13;07/13;07/13,,07/23;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/23;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/22;07/23;07/23;07/23;07/23;07/23;07/23;07/23,,08/01;08/01;08/01;08/01;08/01;08/02;08/02;08/01;08/02;08/02;08/02;08/02;08/01;08/01;08/02;08/02;08/02;08/02;08/02;08/02;08/02;08/02,,08/12;08/13;08/13;08/13;08/13;08/13;08/13;08/12;08/12;08/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
