Type,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
A2,,,,,,,,,,,,,,,,,,04/16;04/17,04/21,04/26,04/30,,05/10,05/12,05/20,05/28,05/31,06/03;06/04,06/09,06/14,06/21,06/22,06/27,06/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,03/31;04/01,04/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,01/16;01/17,01/25,01/29;01/30,02/03;02/04,02/08,02/12;02/13;02/14,02/17;02/18;02/19,02/21,02/26;02/27,03/03;03/04;03/05,03/09,03/13;03/14,03/18;03/19;03/20,03/25;03/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/17;12/18,12/21,12/27,12/31;01/02,01/06;01/07,01/11
D2,,,,,,,,,,,,,,,,,,,04/22;04/23,04/27,05/01,05/05,05/12,05/19,05/24,05/27;05/28,06/01,06/04;06/05,06/10,06/16,06/22,06/25;06/26,06/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,01/25,01/29,02/03,02/07,02/12,02/17,02/21,02/25;02/26,03/03,03/08,03/13,03/14,03/20,03/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18,12/23,12/28,01/05;01/06,01/11,01/15
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,,04/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,,,02/21,02/26,03/02;03/03,03/08,03/13,03/18,03/24;03/25,03/30;03/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,01/18;01/21,01/23;01/24,01/27;01/28;01/29,01/31,02/05;02/06;02/07,02/11;02/12,02/19,02/22;02/24,02/27;02/28,03/05;03/06,03/10;03/11;03/12,03/15;03/17,03/21,03/28,04/02;04/03;04/04,04/07;04/08;04/09,04/14,04/17,04/23;04/24,04/27;04/28,05/01;05/02,05/05;05/06;05/07;05/08,05/12;05/13;05/14,05/21,05/24,05/28,06/01,06/05;06/06,06/10;06/11;06/12,06/16;06/17,06/22;06/23,06/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/19;12/20,12/23,12/28;12/30,01/02;01/03,01/08;01/09,01/13
