Type,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
62,01/18;01/21,01/23;01/24,01/27;01/28;01/29,01/31,02/05;02/06;02/07,02/11;02/12,02/19,02/22;02/24,02/27;02/28,03/05;03/06,03/10;03/11;03/12,03/15;03/17,03/21,03/28,04/02;04/03;04/04,04/07;04/08;04/09,04/14,04/17,04/23;04/24,04/27;04/28,05/01;05/02,05/05;05/06;05/07;05/08,05/12;05/13;05/14,05/21,05/24,05/28,06/01,06/05;06/06,06/10;06/11;06/12,06/16;06/17,06/22;06/23,06/28,07/01;07/02,07/06;07/07,07/11,07/16;07/17,07/20,07/23;07/24;07/25,07/28;07/29;07/30,08/03;08/04,08/08,08/13;08/14,08/17;08/18,08/23,08/28;08/29,09/02;09/03,09/08;09/09,09/14,09/19,09/23;09/24,09/27;09/29,10/04,10/09;10/10,10/16,10/21;10/22,10/25,10/29;10/30,11/02;11/03;11/04,11/08;11/10,11/13;11/14,11/17;11/18;11/19,11/22;11/24;11/25,11/28,12/03;12/04;12/05,12/08;12/09;12/10,12/13;12/15,12/17;12/18;12/19,12/22;12/23,12/27;12/29;12/30,01/01;01/02,,
A,01/16;01/17,01/25,01/29;01/30,02/03;02/04,02/08,02/12;02/13;02/14,02/17;02/18;02/19,02/21,02/26;02/27,03/03;03/04;03/05,03/09,03/13;03/14,03/18;03/19;03/20,03/25;03/26,03/31;04/01,04/05,,04/16;04/17,04/21,04/26,04/30,,05/10,05/12,05/20,05/28,05/31,06/03;06/04,06/09,06/14,06/21,06/22,06/27,06/30,07/05,07/11,07/16,07/19,07/28,08/02,08/07;08/08,08/11,08/15,08/21,08/26,09/01,09/06,09/11;09/12,09/17;09/18,09/21;09/22,09/26;09/27,10/03,10/08;10/09,10/15;10/13,10/20;10/21,10/24,10/27;10/28,11/01,11/06;11/07,11/11;11/12,11/16,11/20;11/21,11/27,12/02,12/06,12/11;12/12,12/16;12/17,12/21;12/22,12/26,12/30;12/31,,
A2,,,,,,,,,,,,,,,,,,04/16;04/17,04/21,04/26,04/30,,05/10,05/12,05/20,05/28,05/31,06/03;06/04,06/09,06/14,06/21,06/22,06/27,06/30,07/05,07/11,07/16,07/19,07/28,08/02,08/07;08/08,08/11,08/15,08/21,08/26,09/01,09/06,09/11;09/12,09/17;09/18,09/21;09/22,09/26,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,03/31;04/01,04/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/22,09/27,10/03,10/08;10/09,10/15,,,,,,,,,,,,,,,,,,
A4,01/16;01/17,01/25,01/29;01/30,02/03;02/04,02/08,02/12;02/13;02/14,02/17;02/18;02/19,02/21,02/26;02/27,03/03;03/04;03/05,03/09,03/13;03/14,03/18;03/19;03/20,03/25;03/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/13,10/20;10/21,10/24,10/27;10/28,11/01,11/06;11/07,11/11;11/12,11/16,11/20;11/21,11/27,12/02,12/06,12/11;12/12,12/16;12/17,12/21;12/22,12/26,12/30;12/31,01/05,
D,01/25,01/29,02/03,02/07,02/12,02/17,02/21,02/25;02/26,03/03,03/08,03/13,03/14,03/20,03/27,,,,,04/22;04/23,04/27,05/01,05/05,05/12,05/19,05/24,05/27;05/28,06/01,06/04;06/05,06/10,06/16,06/22,06/25;06/26,06/30,07/05,07/09;07/10,,07/19,07/22,07/28,08/03,08/08,08/13,08/17,08/22,08/27;08/28,09/01;09/02,09/07;09/08,09/13,09/18;09/19,09/22;09/23,10/02,10/08,10/14;10/15,10/19,10/21,10/25,10/28,11/01,11/07,11/13,11/17,11/21;11/22,11/28,12/02,12/07;12/08,12/12,12/17,12/22,12/27,01/01,,
D2,,,,,,,,,,,,,,,,,,,04/22;04/23,04/27,05/01,05/05,05/12,05/19,05/24,05/27;05/28,06/01,06/04;06/05,06/10,06/16,06/22,06/25;06/26,06/30,07/05,07/09;07/10,,07/19,07/22,07/28,08/03,08/08,08/13,08/17,08/22,08/27;08/28,09/01;09/02,09/07;09/08,09/13,09/18;09/19,09/22;09/23,10/02,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/08,10/14;10/15,10/19,10/21,10/25,10/28,11/01,11/07,11/13,,,,,,,,,,,,
D4,01/25,01/29,02/03,02/07,02/12,02/17,02/21,02/25;02/26,03/03,03/08,03/13,03/14,03/20,03/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/13,11/17,11/21;11/22,11/28,12/02,12/07;12/08,12/12,12/17,12/22,12/27,01/01,,
F,01/25,01/29,,02/08,02/12,,02/21,02/26,03/02;03/03,03/08,03/13,03/18,03/24;03/25,03/30;03/31,,04/07,,04/17,,04/27,05/01,05/05,05/12,05/20,,05/28,06/01,06/05,06/10,,,06/26;06/27,06/30,07/05,07/10;07/11,07/15;07/16,07/19,07/28,08/02,08/06;08/07,08/11;08/12,08/16,08/21;08/22,08/26;08/27,08/31,09/06,09/11,09/16;09/17,,,,10/08,10/15,10/19,10/23;10/24,10/27,11/01,11/05;11/06,11/08,11/13,11/20,11/22;11/27,,12/01,12/08,12/12,12/17;12/18,12/22,12/27,01/01,,
F1,,,,,,,,,,,,,,,,,,04/17,,04/27,05/01,05/05,05/12,05/20,,05/28,06/01,06/05,06/10,,,06/26;06/27,06/30,07/05,07/10;07/11,07/15;07/16,07/19,07/28,08/02,08/06;08/07,08/11;08/12,08/16,08/21;08/22,08/26;08/27,08/31,09/06,09/11,09/16;09/17,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,,04/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,,,02/21,02/26,03/02;03/03,03/08,03/13,03/18,03/24;03/25,03/30;03/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/08,10/15,10/19,10/23;10/24,10/27,11/01,11/05;11/06,11/08,11/13,,11/22,,,12/08,12/12,,,12/27,,,
F5,01/25,01/29,,02/08,02/12,,02/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/20,11/27,,12/01,12/08,12/12,12/17;12/18,12/22,12/27,01/01,,
