Date,F,G,H,J,K,M,N,Q,U,V,X,Z
1/1/2022,2.0016,2.0013,2.01,2.1405,2.1439,2.1408,2.1263,2.103,2.0655,1.9363,1.9031,1.8811
1/2/2022,2.0016,2.0013,2.01,2.1405,2.1439,2.1408,2.1263,2.103,2.0655,1.9363,1.9031,1.8811
1/3/2022,2.0337,2.033,2.0417,2.1722,2.1756,2.1725,2.158,2.1347,2.0972,1.968,1.9348,1.9128
1/4/2022,2.056,2.0557,2.0643,2.1938,2.197,2.1936,2.1789,2.1553,2.1176,1.9881,1.9547,1.9324
1/5/2022,2.0693,2.0689,2.0776,2.2072,2.2114,2.2076,2.1915,2.1679,2.1302,2.0007,1.9673,1.945
1/6/2022,2.0877,2.0875,2.0961,2.2254,2.228,2.2223,2.2079,2.1841,2.1462,2.0164,1.9828,1.9603
1/7/2022,2.0873,2.0871,2.0956,2.2249,2.2264,2.2173,2.2038,2.1808,2.1438,2.0149,1.9821,1.9605
1/8/2022,2.0873,2.0871,2.0956,2.2249,2.2264,2.2173,2.2038,2.1808,2.1438,2.0149,1.9821,1.9605
1/9/2022,2.0873,2.0871,2.0956,2.2249,2.2264,2.2173,2.2038,2.1808,2.1438,2.0149,1.9821,1.9605
1/10/2022,2.0725,2.073,2.0819,2.2112,2.2127,2.2036,2.1901,2.1671,2.1301,2.0012,1.9684,1.9468
1/11/2022,2.1273,2.1268,2.1351,2.2647,2.2657,2.2561,2.2411,2.2169,2.1777,2.0466,2.0116,1.9878
1/12/2022,2.1404,2.1399,2.1478,2.277,2.2768,2.2663,2.2491,2.2246,2.1854,2.0535,2.0166,1.9921
1/13/2022,2.136,2.1349,2.1425,2.2728,2.2724,2.2617,2.2437,2.2187,2.1805,2.048,2.0105,1.986
1/14/2022,2.1594,2.1582,2.1657,2.2959,2.2954,2.2845,2.266,2.2405,2.2029,2.0695,2.0317,2.0069
1/15/2022,2.1594,2.1582,2.1657,2.2959,2.2954,2.2845,2.266,2.2405,2.2029,2.0695,2.0317,2.0069
1/16/2022,2.1594,2.1582,2.1657,2.2959,2.2954,2.2845,2.266,2.2405,2.2029,2.0695,2.0317,2.0069
1/17/2022,2.1594,2.1582,2.1657,2.2959,2.2954,2.2845,2.266,2.2405,2.2029,2.0695,2.0317,2.0069
1/18/2022,2.1754,2.1745,2.1821,2.3117,2.3107,2.3004,2.28,2.2538,2.2156,2.0816,2.0432,2.0178
1/19/2022,2.186,2.1845,2.1921,2.3216,2.3203,2.3093,2.2887,2.2623,2.2239,2.0897,2.0511,2.0255
1/20/2022,2.1897,2.1873,2.1953,2.3266,2.3263,2.316,2.295,2.2678,2.2297,2.0958,2.0574,2.032
1/21/2022,2.1719,2.1697,2.1784,2.3108,2.3123,2.303,2.2836,2.2571,2.2191,2.0853,2.047,2.0217
1/22/2022,2.1719,2.1697,2.1784,2.3108,2.3123,2.303,2.2836,2.2571,2.2191,2.0853,2.047,2.0217
1/23/2022,2.1719,2.1697,2.1784,2.3108,2.3123,2.303,2.2836,2.2571,2.2191,2.0853,2.047,2.0217
