Date,2020,2021,2022,2023,2024,2025
1/1,-11.269,-21.069,-19.569,18.581,-17.069,-7.819
1/2,-12.469,-21.069,-19.569,18.581,-17.669,-11.569
1/3,-11.319,-21.069,-18.569,21.181,-23.069,-17.319
1/4,-11.319,-20.819,-18.069,27.181,-23.819,-17.319
1/5,-11.319,-21.569,-18.719,28.431,-20.569,-17.319
1/6,-10.469,-20.819,-18.069,30.431,-20.569,-17.819
1/7,-7.069,-21.919,-17.969,30.431,-20.569,-14.569
1/8,-0.819,-25.419,-17.969,30.431,-18.569,-18.069
1/9,-1.569,-25.419,-17.969,33.431,3.681,-13.319
1/10,-3.159,-25.419,-20.419,32.431,3.431,-15.069
1/11,-3.159,-22.819,-24.819,22.681,2.181,-15.069
1/12,-3.159,-22.819,-29.069,22.431,1.931,-15.069
1/13,-7.439,-22.559,-27.919,11.431,1.931,-15.319
1/14,-7.099,-22.059,-26.819,11.431,1.931,-10.059
1/15,-7.259,-18.549,-26.819,11.431,1.931,-9.039
1/16,-7.789,-18.549,-26.819,11.431,-14.939,-4.499
1/17,-7.999,-18.549,-26.819,4.681,-11.879,2.251
1/18,-7.999,-18.549,-29.819,13.901,-12.519,2.251
1/19,-7.999,-19.299,-31.419,11.291,-10.059,2.251
1/20,-7.999,-18.949,-29.919,9.471,-10.059,2.251
1/21,-8.009,-18.449,-29.169,9.471,-10.059,-2.689
1/22,-1.699,-17.099,-29.169,9.471,-7.619,-3.979
1/23,-1.049,-17.099,-29.169,-22.679,-5.889,-6.539
1/24,4.011,-17.099,-29.329,-19.909,-7.109,-5.319
1/25,4.011,-17.219,-28.369,-17.469,-12.919,-5.319
1/26,4.011,-16.119,-28.419,-7.469,-22.919,-5.319
1/27,0.231,-17.219,-27.169,-18.819,-22.919,-5.969
1/28,0.181,-18.669,-26.119,-18.819,-22.919,-4.319
1/29,-0.319,-18.169,-26.119,-18.819,-27.169,-4.819
1/30,-0.819,-18.169,-26.119,-17.819,-26.119,-5.319
1/31,-0.819,-18.169,-26.319,-18.319,-26.919,-3.969
2/1,-0.819,-18.319,-26.319,-17.819,-18.819,-3.969
2/2,-0.819,-16.969,-28.169,-17.819,2.681,-3.969
