Date,2020,2021,2022,2023,2024,2025
1/1,-16.25,-23.96,-40.79,-80.08,-54.63,-38.32
1/2,-15.9,-23.96,-40.79,-80.08,-56.84,-40.19
1/3,-16.4,-23.96,-38.5,-74.62,-58.56,-39.87
1/4,-16.4,-18.54,-37.88,-69.42,-54.51,-39.87
1/5,-16.4,-21.71,-37.96,-67.71,-52.3,-39.87
1/6,-17.35,-21.8,-35.03,-69.71,-52.3,-38.3
1/7,-17.95,-21.92,-36.64,-69.71,-52.3,-37.66
1/8,-18.1,-24.23,-36.64,-69.71,-50.28,-37.02
1/9,-16.5,-24.23,-36.64,-67.79,-49.68,-39.08
1/10,-17.1,-24.23,-34.89,-65.57,-51.23,-39.24
1/11,-17.1,-22.08,-38.74,-66.95,-55.88,-39.24
1/12,-17.1,-23.55,-39.23,-66.78,-55.18,-39.24
1/13,-17.25,-24.88,-39.58,-74.03,-55.18,-39.53
1/14,-16,-24.39,-39.82,-74.03,-55.18,-41.83
1/15,-17,-23.09,-39.82,-74.03,-55.18,-42.39
1/16,-16.6,-23.09,-39.82,-74.03,-54.84,-41.19
1/17,-16.45,-23.09,-39.82,-75.51,-54.04,-45.97
1/18,-16.45,-23.09,-40.18,-75.6,-58.35,-45.97
1/19,-16.45,-23.59,-40.7,-79.93,-57.02,-45.97
1/20,-16.45,-25.02,-41.62,-80.79,-57.02,-45.97
1/21,-16.6,-24.62,-41.14,-80.79,-57.02,-45.8
1/22,-17.25,-25.75,-41.14,-80.79,-62.58,-43.56
1/23,-17.15,-25.75,-41.14,-84.3,-59.83,-44.03
1/24,-17.6,-25.75,-40.96,-80.58,-58.39,-42.65
1/25,-17.6,-26.59,-41.71,-77.63,-58.6,-42.65
1/26,-17.6,-26.13,-43.02,-75.41,-60.83,-42.65
1/27,-17.65,-25.41,-42.65,-76.72,-60.83,-42.53
1/28,-17.4,-28.74,-44.26,-76.72,-60.83,-46.44
1/29,-17.75,-26.12,-44.26,-76.72,-56.96,-46.07
1/30,-17.55,-26.12,-44.26,-70.4,-59.38,-44.4
1/31,-17.65,-26.12,-43.91,-75.93,-57.37,-45.13
2/1,-17.65,-26.51,-45.77,-70.63,-58.48,-45.13
2/2,-17.65,-26.1,-48.9,-69.98,-56.25,-45.13
2/3,-17.05,-27.66,-50.02,-65.35,-56.25,-49.42
2/4,-17,-26.88,-50.35,-65.35,-56.25,-46.65
2/5,-17.8,-27.58,-50.35,-65.35,-61.67,-44.07
2/6,-15.85,-27.58,-50.35,-72.09,-62.78,-44.87
2/7,-14.65,-27.58,-51.88,-74.43,-64.05,-45.9
2/8,-14.65,-28.08,-49.51,-73.78,-63.95,-45.9
2/9,-14.65,-27.06,-50.24,-70.4,-62.45,-45.9
2/10,-15.65,-24.94,-47.29,-72.87,-62.45,-43.92
2/11,-15.55,-26.52,-43.61,-72.87,-62.45,-46.78
2/12,-15.65,-27.85,-43.61,-72.87,-69.73,-44.96
2/13,-15.85,-27.85,-43.61,-75.61,-69.46,-46.87
2/14,-15.85,-27.85,-49.19,-72.1,-62.44,-44.89
2/15,-15.85,-27.85,-44.06,-72.28,-59.83,-44.89
2/16,-15.85,-34.54,-42.86,-67.05,-61.35,-44.89
2/17,-15.85,-36.18,-46.83,-69.92,-61.35,-44.89
2/18,-15.9,-31.42,-48.21,-69.92,-61.35,-44.19
2/19,-15.9,-32.69,-48.21,-69.92,-61.35,-43.65
2/20,-20.25,-32.69,-48.21,-69.92,-61.61,-42.9
2/21,-22.25,-32.69,-48.21,-67.06,-63.45,-41.22
2/22,-22.25,-33.84,-47.33,-54.01,-69,-41.22
2/23,-22.25,-37.5,-49.32,-55.98,-65.68,-41.22
2/24,-28.4,-36.52,-47.4,-55.89,-65.68,-39.57
2/25,-29,-36.89,-43.91,-55.89,-65.68,-38.04
2/26,-32.25,-35.05,-43.91,-55.89,-67.09,-32.97
2/27,-34.75,-35.05,-43.91,-57.5,-64.94,-39.68
2/28,-34.75,-35.05,-47,-61.2,-67.37,-37.23
3/1,-34.75,-38.74,-40.37,-65.73,-72.54,-37.23
3/2,-31,-42.64,-48.08,-66.78,-72.54,-37.23
3/3,-30.62,-38.78,-56.94,-65.29,-72.54,-39.13
