Date,2020,2021,2022,2023,2024,2025
1/1,4.25,1.5,0,0,6.25,2
1/2,2,1.5,0,0,6.25,2
1/3,2.25,1.5,0,0,6.25,2
1/4,2.25,1.5,0,0,6.25,2
1/5,2.25,1,0,0,6.25,2
1/6,1.75,1,0,0,6.25,2
1/7,1.75,1,0,0,6.25,2
1/8,2.5,1,0,0,4.5,2
1/9,2.5,1,0,0,4.5,2
1/10,0.25,1,0,0,4.5,2
1/11,0.25,1,0,0,4.75,2
1/12,0.25,1,0,0,6.75,2
1/13,0.25,0.75,0,0,6.75,2
1/14,0.25,0.75,0,0,6.75,2
1/15,-1,1,0,0,6.75,2
1/16,-0.5,1,0,0,6.75,2
1/17,-0.5,1,0,0,6.75,3.25
1/18,-0.5,1,0,1.25,6.75,3.25
1/19,-0.5,1,0,1.25,6.75,3.25
1/20,-0.5,1,0,1.25,6.75,3.25
1/21,-2,1,0,1.25,6.75,2
1/22,0,1,0,1.25,3.5,2
1/23,1,1,0,1.25,3.75,3.75
1/24,1,1,0,1.25,2.25,3.75
1/25,1,1,0,1.25,2.25,3.75
1/26,1,1,0,1.25,2.25,3.75
1/27,1,1,0,1.25,2.25,3.75
1/28,0.75,1,0,1.25,2.25,3.75
1/29,-0.5,1,0,1.25,2.25,3.75
1/30,-0.75,1,0,1.25,2.25,3.75
1/31,-1.75,1,0,1.25,2.25,3.75
2/1,-1.75,1,1,1.25,2.25,3.75
2/2,-1.75,0,1,1.25,2.25,3.75
2/3,-2.5,0,1,1.25,2.25,3.75
2/4,0.5,0,1,1.25,2.25,3.75
2/5,0.5,0,1,1.25,2.5,3.75
2/6,2,0,1,1.25,1,3.75
2/7,2.5,0,1,1.25,1,3.75
2/8,2.5,0,1,1.25,1,3.75
2/9,2.5,0,1,1.25,1,3.75
2/10,1.5,0,1,1.25,1,2.75
2/11,0,0,1,1.25,1,2.75
2/12,-0.25,0,1,1.25,3.75,0.75
2/13,-0.25,0,1,1.25,3.75,0.75
2/14,0.75,0,1,1.25,5,2
2/15,0.75,0,1,1.25,5,2
2/16,0.75,0,1,1.25,4.25,2
2/17,0.75,0,1,1.25,4.25,2
2/18,0.75,0,1,1.25,4.25,2
2/19,0.25,0,1,1.25,4.25,2
2/20,1.5,0,1,1.25,4.25,2
2/21,2.25,0,1,1.25,2,2
2/22,2.25,0,1,1.25,1.25,2
2/23,2.25,0,1,1.25,7.75,2
2/24,1.5,0,1,1.25,7.75,2
2/25,2.25,0,1,1.25,7.75,2
2/26,1.5,0,1,1.25,7.75,2.25
2/27,2.5,0,1,1.25,3,2
2/28,0.25,0,1,1.5,3,2
3/1,0.25,0,1,1.5,7.75,2
