Date,2020,2021,2022,2023,2024,2025
1/1,18.65,5.55,9.35,25,27.75,16.35
1/2,20.1,5.55,9.35,25,27.75,19.25
1/3,19.5,5.55,9.35,25,27.75,20.5
1/4,19.5,5.25,10.25,23.75,27.75,20.5
1/5,19.5,5.25,10.25,23.75,28,20.5
1/6,17.9,6.2,10.25,23.75,28,20
1/7,17,6.25,11.25,23.75,28,18.25
1/8,15.15,6.25,11.25,23.75,27.25,17.75
1/9,17,6.25,11.25,23.75,27.5,16.75
1/10,17,6.25,11.25,23.75,27.5,16.75
1/11,17,5.75,11.25,24.25,27.5,16.75
1/12,17,5,12.1,24.25,27.5,16.75
1/13,16.75,4.75,12.1,24.25,27.5,16.75
1/14,16.75,5,12.1,24.25,27.5,16.75
1/15,16.75,5,12.1,24.25,27.5,18.25
1/16,16.15,5,12.1,24.25,29.1,17.75
1/17,16.15,5,12.1,24.25,28.25,17.25
1/18,16.15,5,12.1,24.25,28.25,17.25
1/19,16.15,5.5,12.1,24.25,28.25,17.25
1/20,16.15,5.5,12.1,22.5,28.25,17.25
1/21,14.65,5.35,10.35,22.5,28.25,17.25
1/22,14,5.25,10.35,22.5,25.5,17.25
1/23,14,5.25,10.35,21.85,25.5,17.25
1/24,14,5.25,10.35,21.85,25.5,18.5
1/25,14,5.25,10.3,21.85,24.5,18.5
1/26,14,5.25,13.05,24.25,26.75,18.5
1/27,17,5.25,13.05,24.25,26.75,20.95
1/28,17,5.25,13.05,24.25,26.75,19.5
1/29,17,5.25,13.05,24.25,26.75,19.5
1/30,14.5,5.25,13.05,25.3,26.75,19.25
1/31,14.5,5.25,13.03,24.5,23.25,19
2/1,14.5,5.25,13,25.25,21.25,19
2/2,14.5,5.25,13,24.25,21.5,19
2/3,14.5,6.7,13.75,24.25,21.5,20.1
2/4,14.5,6.6,13.75,24.25,21.5,18.25
2/5,11.95,6.6,13.75,24.25,21.5,18.25
2/6,13.65,6.6,13.75,24.25,21.5,18.25
2/7,13.65,6.6,13.75,24.25,23.75,18.6
2/8,13.65,6.6,13.75,24.25,23.75,18.6
2/9,13.65,6.6,13.75,24.25,26.25,18.6
2/10,19.75,6.65,14,24.25,26.25,19.5
2/11,19.75,6.65,14.75,24.25,26.25,18.45
2/12,17.75,5.4,14.75,24.25,26.25,18.5
2/13,17.75,5.4,14.75,24,27.75,18.1
2/14,20.8,5.4,14.75,24,27.75,18.1
2/15,20.8,5.4,15.35,23.75,26,18.1
2/16,20.8,7.25,15.35,23.75,27,18.1
2/17,20.8,7.25,14.9,22.15,27,18.1
2/18,20.75,9.05,14.9,22.15,27,18.1
2/19,20.75,10,14.9,22.15,27,18.5
2/20,20.35,10,14.9,22.15,27,18
2/21,19,10,14.9,23.25,27,17.5
2/22,19,10,14.9,23.5,26,17.5
2/23,19,10,14.9,23.5,24.75,17.5
2/24,16.1,10,13.5,20.5,24.75,15.9
2/25,16.1,7.25,13.5,20.5,24.75,15.9
2/26,19.5,6,13.5,20.5,27,15.9
2/27,19.5,6,13.5,20.5,27,15.9
2/28,19.5,6,13.5,20.5,27,14.5
3/1,19.5,6,13.5,20.5,25.9,14.5
3/2,19.5,6,13.25,20.5,25.9,14.5
3/3,17.38,7,13.25,20.5,25.9,14.4
3/4,17.4,7.25,13.25,20.5,26,14.4
3/5,17.4,5.65,13.25,20.5,26,16.25
3/6,16.5,5.65,13.25,20.5,25.25,16.25
3/7,16.5,5.65,13.25,22.75,26.75,16.25
3/8,16.5,5.5,13.25,22.75,26.75,16.25
3/9,17.75,5.5,18.25,22.75,26.75,16.25
3/10,20,6.75,17,21,26.75,14.25
3/11,19.75,7,17,21,25.5,10.75
3/12,19.75,10.5,17,21,26.5,10.5
3/13,15.75,10.5,17,21,28.25,15.25
3/14,15.75,10.5,17.25,23,27.75,15.5
3/15,15.75,10.5,18,23.25,27.5,15.5
3/16,15.75,11.5,18,25,27.5,15.5
3/17,15.75,14.75,18,25.25,27.5,15.5
3/18,15.75,14.5,18,25.25,29.5,14.75
3/19,15,14.5,18,25.25,29.75,14.75
3/20,15,14.5,18,25.25,29.75,18
3/21,15,14.5,22,24.75,28.75,17
3/22,15,11.25,19.75,24.25,28.75,17
3/23,15,11.45,19.75,26,28.75,17
3/24,15,11.45,19.75,27.75,28.75,17
3/25,15,11.45,19.75,27.75,28.75,18
