Date,2020,2021,2022,2023,2024,2025,2026,2027
1/1,162.55,137.21,223.79,241.08,194.88,192.82,,
1/2,163.82,137.21,223.79,241.08,194.59,197.19,,
1/3,168.63,137.21,220.75,229.62,201.06,196.87,,
1/4,168.63,133.04,222.38,217.92,197.51,196.87,,
1/5,168.63,140.21,224.71,217.21,199.05,196.87,,
1/6,169.04,142.3,225.78,217.96,199.05,194.55,,
1/7,166.42,143.67,225.39,217.96,199.05,193.66,,
1/8,158.23,150.48,225.39,217.96,191.78,193.02,,
1/9,157.77,150.48,225.39,221.29,196.18,195.33,,
1/10,159.31,150.48,222.89,224.07,196.73,200.49,,
1/11,159.31,148.58,231.74,235.95,201.63,200.49,,
1/12,159.31,152.3,234.98,240.78,201.93,200.49,,
1/13,158.73,151.88,233.46,247.53,201.93,202.28,,
1/14,157.19,151.89,237.2,247.53,201.93,203.21,,
1/15,156.18,148.34,237.2,247.53,201.93,207.64,,
1/16,158.8,148.34,237.2,247.53,202.34,203.57,,
1/17,157.44,148.34,237.2,248.51,202.04,202.97,,
1/18,157.44,148.34,238.43,247.1,207.6,202.97,,
1/19,157.44,149.34,240.7,255.93,205.52,202.97,,
1/20,157.44,150.02,240.62,259.79,205.52,202.97,,
1/21,157.19,150.37,238.64,259.79,205.52,201.8,,
1/22,151.59,150.25,238.64,259.79,214.33,198.44,,
1/23,149.7,150.25,238.64,263.8,210.33,200.28,,
1/24,145.34,150.25,234.46,259.21,210.14,197.65,,
1/25,145.34,151.59,240.46,254.13,216.35,197.65,,
1/26,145.34,153.13,246.77,253.41,221.83,197.65,,
1/27,142.3,152.41,246.65,250.85,221.83,195.53,,
1/28,144.83,152.99,247.89,250.85,221.83,198.32,,
1/29,148.08,150.37,247.89,250.85,215.46,196.32,,
1/30,144.3,150.37,247.89,241.28,217.88,196.4,,
1/31,144.06,150.37,249.66,248.68,211.62,195.63,,
2/1,144.06,154.01,251.77,237.38,209.98,195.63,,
2/2,144.06,156.1,254.9,237.23,206,195.63,,
2/3,139.42,158.91,258.52,224.35,206,201.42,,
2/4,135.57,158.38,262.1,224.35,206,200.65,,
2/5,139.43,158.83,262.1,224.35,211.67,196.32,,
2/6,139.9,158.83,262.1,231.09,212.53,198.37,,
2/7,142.64,158.83,262.88,239.43,217.05,200.9,,
2/8,142.64,161.33,256.26,239.78,225.2,200.9,,
2/9,142.64,160.31,258.74,237.65,226.2,200.9,,
2/10,142.63,157.94,259.04,243.62,226.2,200.42,,
2/11,142.42,158.52,265.11,243.62,226.2,205.03,,
2/12,150.35,162.85,265.11,243.62,230.98,199.71,,
2/13,150.47,162.85,265.11,245.86,233.71,201.87,,
2/14,150.58,162.85,269.69,240.35,223.19,200.39,,
2/15,150.58,162.85,257.56,240.28,222.83,200.39,,
2/16,150.58,173.04,258.86,234.3,224.6,200.39,,
2/17,150.58,177.93,256.21,232.42,224.6,200.39,,
2/18,154.49,177.42,258.46,232.42,224.6,200.57,,
2/19,160.19,179.19,258.46,232.42,224.6,200.65,,
2/20,161.95,179.19,258.46,232.42,218.86,200.9,,
2/21,159.37,179.19,258.46,232.56,222.08,194.72,,
2/22,159.37,182.34,261.58,223.01,228.75,194.72,,
2/23,159.37,182.75,262.85,225.48,223.18,194.72,,
2/24,155.72,184.02,265.9,226.39,223.18,194.07,,
2/25,146.69,184.39,257.16,226.39,223.18,189.54,,
2/26,137.7,182.55,257.16,226.39,225.97,185.72,,
2/27,137.06,182.55,257.16,227.25,227.19,192.93,,
2/28,134.03,182.55,271.25,233.2,229.87,190.48,,
3/1,134.03,184.99,284.37,236.73,238.04,190.48,,
3/2,139.71,186.14,307.08,239.28,238.04,190.48,,
3/3,139.5,186.53,309.94,240.79,238.04,187.13,,
3/4,145.8,188.04,336.9,240.79,237.57,188.77,,
3/5,140.58,194.82,336.9,240.79,230.78,192.2,,
3/6,126.4,194.82,336.9,253.15,231.89,187.87,,
3/7,126.4,194.82,334.46,245.82,230.48,191.87,,
3/8,126.4,192.87,345.01,247.39,226.22,191.87,,
3/9,100.94,196.02,307.38,238.01,226.22,191.87,,
3/10,103.71,199.35,301.67,243.58,226.22,188.5,,
3/11,100.78,205.4,317.21,243.58,239.8,191.5,,
3/12,83.25,206,317.21,243.58,240.64,197.26,,
3/13,85.17,206,317.21,237.14,246.9,196.21,,
3/14,85.17,206,304.14,238.05,247.08,198.12,,
3/15,85.17,201.11,287.81,228.84,246.58,198.12,,
3/16,64.24,200.02,286,236.6,246.58,198.12,,
3/17,61.14,193.96,306.91,236.9,246.58,202.37,,
3/18,51.52,184.66,309.38,236.9,248.23,200.84,,
3/19,58.75,183.87,309.38,236.9,248.47,200.71,,
3/20,46.56,183.87,309.38,238.85,247.18,203.11,,
3/21,46.56,183.87,321.16,236.14,245.47,202.54,,
3/22,46.56,185.59,315.82,241.82,244.45,202.54,,
3/23,32.97,179.14,327.62,240.96,244.45,202.54,,
3/24,34.3,188,320.47,239.98,244.45,201.18,,
3/25,42.79,180.96,326.38,239.98,244.59,202.16,,
3/26,41.3,186.09,326.38,239.98,239.53,206.69,,
3/27,44.76,186.09,326.38,249.01,238.99,207.2,,
3/28,44.76,186.09,300.87,249.55,244.31,206.6,,
3/29,44.76,189.59,298.42,242.98,244.31,206.6,,
3/30,45.18,189.64,310.64,241.78,244.31,206.6,,
3/31,42.52,185.97,296.59,247.1,244.31,213.07,,
4/1,36.9,192.73,297.35,247.1,243.65,215,,
4/2,48.03,192.73,297.35,247.1,246.89,216.35,,
4/3,49.66,192.73,297.35,254.75,245.59,201.18,,
4/4,49.66,192.73,301.56,252.71,249.17,192.45,,
4/5,49.66,186.91,297.24,261.01,245.86,192.45,,
4/6,48.31,187.48,283.62,261.48,245.86,192.45,,
4/7,42.82,186.18,282.48,261.48,245.86,189.76,,
4/8,47.4,187.08,290.66,261.48,242.36,184.39,,
4/9,48.98,187.31,290.66,261.48,243.66,190.34,,
4/10,48.98,187.31,290.66,260.79,247.41,181.88,,
4/11,48.98,187.31,277.31,266.52,247.41,185.21,,
4/12,48.98,188.35,293.13,263.02,248.79,185.21,,
4/13,53.08,188.07,308.63,259.67,248.79,185.21,,
4/14,56,193.9,316.29,260.84,248.79,187.72,,
4/15,55.14,195.33,316.29,260.84,246.39,188.19,,
4/16,52.26,192.24,316.29,260.84,248.48,189.84,,
