Date,2020,2021,2022,2023,2024,2025
1/1,181.2,142.76,233.14,266.08,222.63,209.17
1/2,183.92,142.76,233.14,266.08,222.34,216.44
1/3,188.13,142.76,230.1,254.62,228.81,217.37
1/4,188.13,138.29,232.63,241.67,225.26,217.37
1/5,188.13,145.46,234.96,240.96,227.05,217.37
1/6,186.94,148.5,236.03,241.71,227.05,214.55
1/7,183.42,149.92,236.64,241.71,227.05,211.91
1/8,173.38,156.73,236.64,241.71,219.03,210.77
1/9,174.77,156.73,236.64,245.04,223.68,212.08
1/10,176.31,156.73,234.14,247.82,224.23,217.24
1/11,176.31,154.33,242.99,260.2,229.13,217.24
1/12,176.31,157.3,247.08,265.03,229.43,217.24
1/13,175.48,156.63,245.56,271.78,229.43,219.03
1/14,173.94,156.89,249.3,271.78,229.43,219.96
1/15,172.93,153.34,249.3,271.78,229.43,225.89
1/16,174.95,153.34,249.3,271.78,231.44,221.32
1/17,173.59,153.34,249.3,272.76,230.29,220.22
1/18,173.59,153.34,250.53,271.35,235.85,220.22
1/19,173.59,154.84,252.8,280.18,233.77,220.22
1/20,173.59,155.52,252.72,282.29,233.77,220.22
1/21,171.84,155.72,248.99,282.29,233.77,219.05
1/22,165.59,155.5,248.99,282.29,239.83,215.69
1/23,163.7,155.5,248.99,285.65,235.83,217.53
1/24,159.34,155.5,244.81,281.06,235.64,216.15
1/25,159.34,156.84,250.76,275.98,240.85,216.15
1/26,159.34,158.38,259.82,277.66,248.58,216.15
1/27,159.3,157.66,259.7,275.1,248.58,216.48
1/28,161.83,158.24,260.94,275.1,248.58,217.82
1/29,165.08,155.62,260.94,275.1,242.21,215.82
1/30,158.8,155.62,260.94,266.58,244.63,215.65
1/31,158.56,155.62,262.69,273.18,234.87,214.63
2/1,158.56,159.26,264.77,262.63,231.23,214.63
2/2,158.56,161.35,267.9,261.48,227.5,214.63
2/3,153.92,165.61,272.27,248.6,227.5,221.52
2/4,150.07,164.98,275.85,248.6,227.5,218.9
2/5,151.38,165.43,275.85,248.6,233.17,214.57
2/6,153.55,165.43,275.85,255.34,234.03,216.62
2/7,156.29,165.43,276.63,263.68,240.8,219.5
2/8,156.29,167.93,270.01,264.03,248.95,219.5
2/9,156.29,166.91,272.49,261.9,252.45,219.5
2/10,162.38,164.59,273.04,267.87,252.45,219.92
2/11,162.17,165.17,279.86,267.87,252.45,223.48
2/12,168.1,168.25,279.86,267.87,257.23,218.21
2/13,168.22,168.25,279.86,269.86,261.46,219.97
2/14,171.38,168.25,284.44,264.35,250.94,218.49
2/15,171.38,168.25,272.91,264.03,248.83,218.49
2/16,171.38,180.29,274.21,258.05,251.6,218.49
