Date,2020,2021,2022,2023,2024,2025
1/1,162.95,136.96,224.29,244.08,197.13,195.07
1/2,163.92,136.96,224.29,244.08,196.84,199.44
1/3,169.88,136.96,221.25,232.62,203.31,199.37
1/4,169.88,132.79,222.88,220.92,199.76,199.37
1/5,169.88,139.71,225.21,220.21,201.3,199.37
1/6,170.19,142.05,225.68,220.96,201.3,197.05
1/7,167.47,143.42,225.39,220.96,201.3,196.16
1/8,158.88,150.23,225.39,220.96,194.03,195.52
1/9,158.52,150.23,225.39,224.29,199.18,197.83
1/10,160.06,150.23,222.89,227.07,199.98,203.24
1/11,160.06,148.33,231.74,237.95,204.88,203.24
1/12,160.06,152.05,234.98,243.78,205.18,203.24
1/13,159.48,152.63,233.46,250.53,205.18,205.03
1/14,159.19,152.64,237.2,250.53,205.18,205.46
1/15,156.68,149.09,237.2,250.53,205.18,209.39
1/16,159.3,149.09,237.2,250.53,205.59,205.32
1/17,157.99,149.09,237.2,251.51,205.29,205.47
1/18,157.99,149.09,238.43,250.1,210.1,205.47
1/19,157.99,149.79,240.7,258.93,208.02,205.47
1/20,157.99,150.87,240.62,262.79,208.02,205.47
1/21,159.34,151.12,238.64,262.79,208.02,204.3
1/22,153.59,151,238.64,262.79,216.83,200.19
1/23,151.55,151,238.64,266.8,212.33,202.03
1/24,146.84,151,234.46,262.21,212.14,199.4
1/25,146.84,152.34,241.06,255.88,218.35,199.4
1/26,146.84,153.88,247.37,255.16,224.33,199.4
1/27,143.55,152.91,247.3,252.6,224.33,197.28
1/28,145.93,153.49,248.44,252.6,224.33,200.07
1/29,149.33,151.12,248.44,252.6,217.96,198.07
1/30,145.8,151.12,248.44,244.08,220.38,198.15
1/31,145.66,151.12,250.24,251.48,214.37,197.38
2/1,145.66,154.76,252.32,240.18,213.48,197.38
2/2,145.66,156.85,255.8,240.03,208.75,197.38
2/3,140.77,159.66,259.02,227.15,208.75,203.17
2/4,136.82,159.13,262.7,227.15,208.75,202.4
2/5,141.18,159.58,262.7,227.15,214.42,198.07
2/6,141.65,159.58,262.7,233.89,215.28,200.12
2/7,145.14,159.58,263.48,242.23,219.8,202.65
2/8,145.14,162.08,256.86,242.58,227.95,202.65
2/9,145.14,161.06,259.49,240.45,228.95,202.65
2/10,145.13,158.84,259.79,246.42,228.95,202.17
2/11,144.92,159.02,265.86,246.42,228.95,206.78
2/12,152.6,163.25,265.86,246.42,233.73,201.46
2/13,152.97,163.25,265.86,248.66,236.71,203.62
2/14,153.08,163.25,270.44,242.35,226.19,202.14
2/15,153.08,163.25,258.21,242.28,225.83,202.14
2/16,153.08,173.54,259.51,236.3,227.6,202.14
2/17,153.08,178.43,256.86,234.42,227.6,202.14
2/18,156.74,178.92,259.11,234.42,227.6,202.42
2/19,161.69,181.19,259.11,234.42,227.6,202.65
2/20,163.45,181.19,259.11,234.42,221.86,203.15
2/21,161.62,181.19,259.11,234.56,225.08,196.97
2/22,161.62,184.34,262.23,224.51,231.75,196.97
2/23,161.62,184.75,263.1,228.48,225.93,196.97
2/24,157.32,186.77,266.65,229.39,225.93,196.32
2/25,148.19,186.64,257.91,229.39,225.93,194.29
2/26,139.7,185.05,257.91,229.39,228.72,190.47
2/27,139.06,185.05,257.91,229.15,229.94,197.68
2/28,136.03,185.05,272,235.1,232.62,194.23
3/1,136.03,187.49,285.12,239.23,240.79,194.23
3/2,141.71,189.14,307.58,242.03,240.79,194.23
3/3,141,189.53,310.44,244.04,240.79,190.88
3/4,147.3,189.54,337.4,244.04,239.32,193.52
3/5,142.08,195.82,337.4,244.04,232.78,196.95
3/6,127.4,195.82,337.4,255.4,233.89,190.12
3/7,127.4,195.82,334.96,247.57,232.48,196.62
3/8,127.4,193.87,346.51,249.14,228.22,196.62
3/9,101.44,202.27,309.38,239.76,228.22,196.62
3/10,115.71,206.35,311.42,245.33,228.22,193.25
3/11,110.53,212.4,327.71,245.33,256.3,196.25
3/12,90.75,213,327.71,245.33,257.14,198.91
3/13,91.92,213,327.71,238.89,262.65,208.56
3/14,91.92,213,313.89,254.05,264.08,210.37
3/15,91.92,208.11,296.06,244.59,265.83,210.37
3/16,70.99,207.02,294.9,252.35,265.83,210.37
3/17,67.89,200.71,317.16,251.9,265.83,214.62
3/18,59.02,190.66,320.38,251.9,268.73,213.09
3/19,66.25,189.37,320.38,251.9,269.97,212.21
3/20,56.06,189.37,320.38,253.85,266.68,213.86
3/21,56.06,189.37,332.66,251.14,265.72,214.54
3/22,56.06,190.74,326.57,255.07,265.45,214.54
3/23,40.22,184.39,338.62,255.46,265.45,214.54
3/24,43.05,193.5,332.22,256.23,265.45,214.43
3/25,51.54,186.96,336.88,256.23,266.09,215.66
3/26,51.55,192.34,336.88,256.23,260.28,218.19
3/27,55.86,192.34,336.88,266.51,258.99,218.95
3/28,55.86,192.34,313.12,267.05,262.81,219.6
3/29,55.86,195.84,311.42,261.98,262.81,219.6
3/30,56.18,194.89,322.14,260.03,262.81,219.6
3/31,53.52,191.22,308.59,265.1,262.81,225.07
4/1,47.9,198.48,309.25,265.1,262.5,227
4/2,59.03,198.48,309.25,265.1,265.64,228.35
4/3,60.16,198.48,309.25,272.75,264.34,212.43
4/4,60.16,198.48,313.31,269.96,267.92,202.45
4/5,60.16,192.91,309.49,277.66,264.61,202.45
4/6,58.81,193.98,296.62,277.33,264.61,202.45
4/7,54.32,192.68,295.48,277.33,264.61,199.76
4/8,57.55,194.18,304.16,277.33,261.11,194.39
4/9,59.23,193.71,304.16,277.33,262.06,199.59
4/10,59.23,193.71,304.16,277.29,264.91,191.13
4/11,59.23,193.71,291.56,283.77,264.31,194.66
4/12,59.23,194.1,306.53,280.27,266.04,194.66
4/13,62.33,194.57,320.48,277.67,266.04,194.66
4/14,65.5,199.65,329.34,279.84,266.04,198.22
4/15,65.29,200.58,329.34,279.84,263.64,198.69
4/16,63.51,199.24,329.34,279.84,266.48,200.34
4/17,64.32,199.24,329.34,272.65,257.12,205.48
4/18,64.32,199.24,329.21,268.84,256.62,205.48
4/19,64.32,199.13,316.24,257.05,257.09,205.48
4/20,62.3,196.84,320.23,249.39,257.09,205.48
4/21,48.45,192.81,325.61,251.16,257.09,203.28
4/22,61.75,193.11,322.5,251.16,255.55,205.83
4/23,60.71,195.91,322.5,251.16,259.11,203.18
4/24,61.76,195.91,322.5,252.55,261.12,205.23
4/25,61.76,195.91,315.81,247.08,262.98,206.97
4/26,61.76,193.27,325.85,243,263.4,206.97
4/27,61.14,198.03,335.6,239.02,263.4,206.97
4/28,64.15,202.93,340.49,243.26,263.4,204.63
4/29,69.7,205.88,335.74,243.26,262.84,201.4
4/30,72.87,202.38,335.74,243.26,258.47,198.02
5/1,71.13,202.38,335.74,245.79,247.74,200.92
5/2,71.13,202.38,342.21,234.82,249.9,199.19
5/3,71.13,205.4,341.87,223.96,245.76,199.19
5/4,77.4,209.87,357.73,226.84,245.76,199.19
5/5,85.88,209.13,358.62,232.65,245.76,198.78
5/6,83.44,205.87,369.9,232.65,248.07,201.95
5/7,89.14,206.94,369.9,232.65,243.59,198.28
5/8,90.72,206.94,369.9,241.91,243.18,203.19
5/9,90.72,206.94,360.19,242.24,243.68,205.09
5/10,90.72,207.99,349.15,243.14,239.97,205.09
5/11,88.52,208.49,364.8,238.02,239.97,205.09
5/12,87.1,209.6,375.42,235.27,239.97,206.71
5/13,80.77,203.53,387.03,235.27,239.8,209.6
5/14,88.2,206.81,387.03,235.27,235.96,208
5/15,92.02,206.81,387.03,241.2,240.18,204.94
5/16,92.02,206.81,392.29,240.41,246.28,205.28
5/17,92.02,209.83,382.92,249.42,250.17,205.28
5/18,98.08,210.84,360.81,248.58,250.17,205.28
5/19,99.75,204.79,372.42,245.61,250.17,205.13
5/20,99.21,199.37,371.7,245.61,244.99,205.23
