Date,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1/1,177.95,145.76,234.79,266.08,223.88,211.42,,,,,
1/2,183.92,145.76,234.79,266.08,223.59,218.69,,,,,
1/3,188.13,145.76,231.75,254.62,233.81,219.87,,,,,
1/4,188.13,138.79,235.88,241.67,230.26,219.87,,,,,
1/5,188.13,145.71,238.21,240.96,231.8,219.87,,,,,
1/6,188.44,149,238.18,241.71,231.8,217.05,,,,,
1/7,184.47,151.67,237.89,241.71,231.8,214.41,,,,,
1/8,178.43,158.48,237.89,241.71,224.53,213.27,,,,,
1/9,178.07,158.48,237.89,245.29,229.68,214.58,,,,,
1/10,178.46,158.48,235.39,248.07,230.48,219.99,,,,,
1/11,178.46,153.58,244.24,260.45,235.38,219.99,,,,,
1/12,178.46,158.8,247.48,265.28,235.68,219.99,,,,,
1/13,177.88,158.38,245.96,272.03,235.68,221.78,,,,,
1/14,177.44,157.89,249.7,272.03,235.68,222.21,,,,,
1/15,174.93,154.34,249.7,272.03,235.68,227.64,,,,,
1/16,177.55,154.34,249.7,272.03,236.09,223.07,,,,,
1/17,176.24,154.34,249.7,273.01,235.79,222.72,,,,,
1/18,176.24,154.34,250.93,271.6,240.6,222.72,,,,,
1/19,176.24,155.04,253.2,280.43,238.52,222.72,,,,,
1/20,176.24,156.12,253.12,283.54,238.52,222.72,,,,,
1/21,177.59,156.37,251.49,283.54,238.52,221.55,,,,,
1/22,175.09,156.25,251.49,283.54,247.33,217.44,,,,,
1/23,173.05,156.25,251.49,286.4,237.83,219.28,,,,,
1/24,164.34,156.25,247.31,281.81,237.64,217.9,,,,,
1/25,164.34,157.59,253.91,275.48,242.85,217.9,,,,,
1/26,164.34,159.13,260.32,277.66,251.08,217.9,,,,,
1/27,159.8,158.16,260.25,275.1,251.08,218.23,,,,,
1/28,162.18,158.74,261.39,275.1,251.08,219.57,,,,,
1/29,165.58,156.37,261.39,275.1,244.71,217.57,,,,,
1/30,162.05,156.37,261.39,266.58,247.13,217.4,,,,,
1/31,161.91,156.37,263.19,273.18,241.12,216.38,,,,,
