Date,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1/1,166.55,138.51,228.64,254.63,205.38,201.92,,,,,
1/2,168.42,138.51,228.64,254.63,204.59,206.69,,,,,
1/3,172.98,138.51,224.4,243.12,212.31,209.12,,,,,
1/4,172.98,134.54,225.88,227.92,208.26,209.12,,,,,
1/5,172.98,141.71,228.21,227.71,209.05,209.12,,,,,
1/6,172.69,143.8,229.93,228.21,209.05,205.3,,,,,
1/7,169.72,145.27,229.39,228.21,209.05,204.41,,,,,
1/8,161.38,151.93,229.39,228.21,199.28,203.77,,,,,
1/9,162.52,151.93,229.39,231.54,206.43,204.58,,,,,
1/10,163.46,151.93,227.04,234.32,205.73,210.74,,,,,
1/11,163.46,149.83,236.49,246.2,211.93,210.74,,,,,
1/12,163.46,153.05,239.73,250.28,211.53,210.74,,,,,
1/13,162.73,152.63,237.91,259.28,211.53,214.03,,,,,
1/14,162.44,152.64,241.65,259.28,211.53,212.21,,,,,
1/15,160.43,149.59,241.65,259.28,211.53,217.89,,,,,
1/16,163.45,149.59,241.65,259.28,213.19,213.32,,,,,
1/17,162.24,149.59,241.65,260.26,210.79,212.47,,,,,
1/18,162.24,149.59,243.68,258.85,215.6,212.47,,,,,
1/19,162.24,150.54,245.95,267.68,215.52,212.47,,,,,
1/20,162.24,151.27,245.47,274.04,215.52,212.47,,,,,
1/21,161.84,152.17,243.49,274.04,215.52,211.3,,,,,
1/22,155.59,151.9,243.49,274.04,222.83,207.94,,,,,
1/23,153.8,151.9,243.49,277.4,218.33,209.78,,,,,
1/24,148.99,151.9,239.31,272.81,219.64,207.65,,,,,
1/25,148.99,153.39,246.01,264.78,226.6,207.65,,,,,
1/26,148.99,154.93,252.07,265.66,232.33,207.65,,,,,
1/27,145.9,154.21,251.85,263.6,232.33,205.53,,,,,
1/28,148.68,154.79,252.79,263.6,232.33,206.07,,,,,
1/29,151.58,152.37,252.79,263.6,225.71,205.57,,,,,
1/30,148,152.37,252.79,254.08,228.13,206.15,,,,,
1/31,147.66,152.37,254.59,261.68,222.37,205.28,,,,,
2/1,147.66,156.26,256.67,250.38,220.73,205.28,,,,,
2/2,147.66,158.35,261.7,250.23,216.75,205.28,,,,,
2/3,143.62,161.16,264.27,236.35,216.75,212.02,,,,,
2/4,139.82,160.98,268.2,236.35,216.75,211.9,,,,,
2/5,142.88,161.68,268.2,236.35,221.92,207.32,,,,,
2/6,144.3,161.68,268.2,245.84,223.23,208.97,,,,,
2/7,147.14,161.68,269.03,254.18,228.05,211,,,,,
2/8,147.14,163.93,262.26,252.28,235.95,211,,,,,
2/9,147.14,163.11,265.34,251,236.2,211,,,,,
2/10,147.03,161.09,266.29,256.87,236.2,209.42,,,,,
2/11,146.92,161.27,273.86,256.87,236.2,213.98,,,,,
2/12,154.35,165.25,273.86,256.87,241.73,208.71,,,,,
2/13,154.27,165.25,273.86,259.11,245.46,212.07,,,,,
2/14,154.38,165.25,278.19,252.85,233.94,210.24,,,,,
2/15,154.38,165.25,266.16,253.03,233.33,210.24,,,,,
2/16,154.38,175.04,266.46,247.8,236.1,210.24,,,,,
2/17,154.38,181.13,264.36,244.32,236.1,210.24,,,,,
2/18,158.49,180.62,265.96,244.32,236.1,210.42,,,,,
2/19,164.54,182.64,265.96,244.32,236.1,211.15,,,,,
2/20,169.2,182.64,265.96,244.32,230.36,213.65,,,,,
2/21,164.62,182.64,265.96,244.06,233.58,204.47,,,,,
2/22,164.62,185.64,268.08,232.76,239.75,204.47,,,,,
2/23,164.62,186.25,268.85,237.23,233.68,204.47,,,,,
2/24,162.57,187.52,272.65,237.89,233.68,203.97,,,,,
2/25,154.94,186.89,264.41,237.89,233.68,198.79,,,,,
2/26,148.2,185.05,264.41,237.89,236.22,194.97,,,,,
2/27,143.81,185.05,264.41,239.9,238.94,202.18,,,,,
2/28,140.53,185.05,278.5,245.85,241.62,199.48,,,,,
3/1,140.53,187.49,293.62,245.23,248.69,199.48,,,,,
3/2,146.46,188.64,316.83,249.78,248.69,199.48,,,,,
3/3,146.38,189.93,316.44,252.54,248.69,195.63,,,,,
3/4,153.55,191.29,343.9,252.54,246.57,197.92,,,,,
3/5,147.58,197.97,343.9,252.54,239.78,199.7,,,,,
3/6,131.65,197.97,343.9,265.9,240.89,193.87,,,,,
3/7,131.65,197.97,340.96,257.82,239.48,198.62,,,,,
3/8,131.65,196.12,351.51,258.89,232.97,198.62,,,,,
3/9,105.19,198.52,315.13,249.51,232.97,198.62,,,,,
3/10,108.21,203.2,308.17,255.83,232.97,193.5,,,,,
3/11,104.78,211.05,323.46,255.83,252.3,195.25,,,,,
