Date,2020,2021,2022,2023,2024,2025
1/1,146.3,113.25,183,161,140.25,154.5
1/2,147.92,113.25,183,161,137.75,157
1/3,152.23,113.25,182.25,155,142.5,157
1/4,152.23,114.5,184.5,148.5,143,157
1/5,152.23,118.5,186.75,149.5,146.75,157
1/6,151.69,120.5,190.75,148.25,146.75,156.25
1/7,148.47,121.75,188.75,148.25,146.75,156
1/8,140.13,126.25,188.75,148.25,141.5,156
1/9,141.27,126.25,188.75,153.5,146.5,156.25
1/10,142.21,126.25,188,158.5,145.5,161.25
1/11,142.21,126.5,193,169,145.75,161.25
1/12,142.21,128.75,195.75,174,146.75,161.25
1/13,141.48,127,193.88,173.5,146.75,162.75
1/14,141.19,127.5,197.38,173.5,146.75,161.38
1/15,139.18,125.25,197.38,173.5,146.75,165.25
1/16,142.2,125.25,197.38,173.5,147.5,162.38
1/17,140.99,125.25,197.38,173,148,157
1/18,140.99,125.25,198.25,171.5,149.25,157
1/19,140.99,125.75,200,176,148.5,157
1/20,140.99,125,199,179,148.5,157
1/21,140.59,125.75,197.5,179,148.5,156
1/22,134.34,124.5,197.5,179,151.75,154.88
1/23,132.55,124.5,197.5,179.5,150.5,156.25
1/24,127.74,124.5,193.5,178.63,151.75,155
1/25,127.74,125,198.75,176.5,157.75,155
1/26,127.74,127,203.75,178,161,155
1/27,124.65,127,204,174.13,161,153
1/28,127.43,124.25,203.63,174.13,161,151.88
1/29,130.33,124.25,203.63,174.13,158.5,150.25
1/30,126.75,124.25,203.63,170.88,158.5,152
1/31,126.41,124.25,205.75,172.75,154.25,150.5
2/1,126.41,127.5,206,166.75,151.5,150.5
2/2,126.41,130,206,167.25,149.75,150.5
2/3,122.37,131.25,208.5,159,149.75,152
2/4,118.57,131.5,211.75,159,149.75,154
2/5,121.63,131.25,211.75,159,150,152.25
2/6,124.05,131.25,211.75,159,149.75,153.5
2/7,127.99,131.25,211,165,153,155
2/8,127.99,133.25,206.75,166,161.25,155
2/9,127.99,133.25,208.5,167.25,163.75,155
2/10,126.98,133,211.75,170.75,163.75,156.5
2/11,126.87,132,221.5,170.75,163.75,158.25
2/12,134.7,135,221.5,170.75,161.25,154.75
2/13,134.62,135,221.5,170.25,164.25,155
2/14,134.73,135,220.5,168.25,160.75,155.5
2/15,134.73,135,213.5,168,163,155.5
2/16,134.73,138.5,216,167.25,163.25,155.5
2/17,134.73,141.75,209.38,162.5,163.25,155.5
2/18,138.59,146,210.25,162.5,163.25,156.38
2/19,144.29,146.5,210.25,162.5,163.25,157
2/20,141.7,146.5,210.25,162.5,157.25,158
2/21,137.12,146.5,210.25,165.5,158.63,153.5
2/22,137.12,148.5,214.25,169,159.75,153.5
2/23,137.12,145.25,213.53,169.5,157.5,153.5
2/24,127.32,147.5,218.5,170.5,157.5,154.5
2/25,117.69,147.5,213.25,170.5,157.5,151.5
