Date,F,G,H,J,K,M,N,Q,U,V,X,Z
1/1/2023,2.8188,2.8031,2.7808,2.752,2.7316,2.7172,2.7141,2.711,2.701,2.6955,2.671,2.6487
1/2/2023,2.8188,2.8031,2.7808,2.752,2.7316,2.7172,2.7141,2.711,2.701,2.6955,2.671,2.6487
1/3/2023,2.7018,2.688,2.6675,2.6389,2.6187,2.6049,2.6007,2.5963,2.5885,2.58,2.566,2.551
1/4/2023,2.6426,2.6309,2.6103,2.5825,2.5648,2.5533,2.5502,2.5469,2.5402,2.5328,2.5203,2.5098
1/5/2023,2.6375,2.6262,2.6058,2.578,2.5603,2.5488,2.5457,2.5424,2.5357,2.5283,2.5158,2.5053
1/6/2023,2.6435,2.6328,2.6138,2.587,2.5698,2.5607,2.5583,2.5553,2.5491,2.5408,2.5278,2.5159
1/7/2023,2.6435,2.6328,2.6138,2.587,2.5698,2.5607,2.5583,2.5553,2.5491,2.5408,2.5278,2.5159
1/8/2023,2.6435,2.6328,2.6138,2.587,2.5698,2.5607,2.5583,2.5553,2.5491,2.5408,2.5278,2.5159
1/9/2023,2.6743,2.6645,2.6478,2.6226,2.6061,2.5971,2.5961,2.5938,2.5883,2.5808,2.5685,2.5573
1/10/2023,2.6839,2.6741,2.6568,2.631,2.6137,2.6047,2.6037,2.6014,2.5959,2.5884,2.5761,2.5649
1/11/2023,2.7222,2.7116,2.6932,2.6669,2.6491,2.6391,2.6371,2.6348,2.6293,2.6218,2.6095,2.5983
1/12/2023,2.7491,2.7374,2.7187,2.6924,2.6743,2.6636,2.6615,2.6577,2.6517,2.6427,2.6288,2.615
1/13/2023,2.7782,2.7653,2.746,2.7196,2.7014,2.6888,2.686,2.6815,2.6748,2.6651,2.6511,2.636
1/14/2023,2.7782,2.7653,2.746,2.7196,2.7014,2.6888,2.686,2.6815,2.6748,2.6651,2.6511,2.636
1/15/2023,2.7782,2.7653,2.746,2.7196,2.7014,2.6888,2.686,2.6815,2.6748,2.6651,2.6511,2.636
1/16/2023,2.7782,2.7653,2.746,2.7196,2.7014,2.6888,2.686,2.6815,2.6748,2.6651,2.6511,2.636
1/17/2023,2.7937,2.7803,2.759,2.7309,2.7124,2.6989,2.6939,2.6879,2.68,2.6699,2.6557,2.6412
1/18/2023,2.7909,2.7772,2.7569,2.729,2.7099,2.6959,2.6909,2.685,2.6771,2.667,2.6529,2.6384
1/19/2023,2.8212,2.8061,2.7832,2.753,2.7327,2.7185,2.7134,2.7074,2.6995,2.6893,2.6751,2.6601
1/20/2023,2.8635,2.8462,2.8206,2.7866,2.7626,2.7454,2.7394,2.7322,2.7238,2.7134,2.6991,2.6836
1/21/2023,2.8635,2.8462,2.8206,2.7866,2.7626,2.7454,2.7394,2.7322,2.7238,2.7134,2.6991,2.6836
1/22/2023,2.8635,2.8462,2.8206,2.7866,2.7626,2.7454,2.7394,2.7322,2.7238,2.7134,2.6991,2.6836
1/23/2023,2.9069,2.8891,2.8631,2.8274,2.801,2.7783,2.7708,2.7632,2.754,2.7415,2.726,2.709
1/24/2023,2.8561,2.8378,2.8116,2.7764,2.7506,2.7303,2.7223,2.7148,2.7057,2.6936,2.6794,2.6654
1/25/2023,2.8186,2.8006,2.7746,2.7396,2.7146,2.6953,2.687,2.6794,2.6715,2.6603,2.647,2.632
1/26/2023,2.8307,2.8129,2.7871,2.7522,2.7264,2.7076,2.7001,2.6925,2.6845,2.6733,2.6599,2.6449
1/27/2023,2.7812,2.7637,2.7378,2.7034,2.6819,2.6682,2.6635,2.657,2.6499,2.6397,2.6285,2.6155
1/28/2023,2.7812,2.7637,2.7378,2.7034,2.6819,2.6682,2.6635,2.657,2.6499,2.6397,2.6285,2.6155
1/29/2023,2.7812,2.7637,2.7378,2.7034,2.6819,2.6682,2.6635,2.657,2.6499,2.6397,2.6285,2.6155
1/30/2023,2.7347,2.7225,2.7028,2.6756,2.6587,2.6466,2.6423,2.6368,2.6298,2.62,2.609,2.5963
1/31/2023,2.7773,2.764,2.7441,2.7164,2.6994,2.6872,2.681,2.674,2.6667,2.6572,2.6464,2.6352
2/1/2023,2.6944,2.6834,2.666,2.644,2.6323,2.6237,2.6192,2.6137,2.6072,2.599,2.5895,2.5784
2/2/2023,2.6656,2.6557,2.6394,2.6189,2.6078,2.5995,2.5956,2.5901,2.5838,2.5764,2.5684,2.5584
2/3/2023,2.5872,2.5777,2.5627,2.543,2.533,2.5238,2.5207,2.5167,2.5122,2.5072,2.5008,2.4979
2/4/2023,2.5872,2.5777,2.5627,2.543,2.533,2.5238,2.5207,2.5167,2.5122,2.5072,2.5008,2.4979
2/5/2023,2.5872,2.5777,2.5627,2.543,2.533,2.5238,2.5207,2.5167,2.5122,2.5072,2.5008,2.4979
2/6/2023,2.5928,2.5839,2.5693,2.5503,2.5419,2.5352,2.5321,2.5281,2.5236,2.5185,2.512,2.5026
2/7/2023,2.6753,2.6649,2.6477,2.6238,2.6104,2.6009,2.5956,2.5902,2.5838,2.5768,2.568,2.5583
2/8/2023,2.6982,2.6873,2.6686,2.6431,2.6275,2.6158,2.61,2.6047,2.5985,2.5913,2.5823,2.5725
2/9/2023,2.6442,2.6337,2.6153,2.59,2.5752,2.5639,2.5593,2.5553,2.5516,2.5456,2.5371,2.5293
2/10/2023,2.683,2.6706,2.6502,2.621,2.6028,2.5873,2.5796,2.574,2.569,2.5626,2.5537,2.5452
2/11/2023,2.683,2.6706,2.6502,2.621,2.6028,2.5873,2.5796,2.574,2.569,2.5626,2.5537,2.5452
2/12/2023,2.683,2.6706,2.6502,2.621,2.6028,2.5873,2.5796,2.574,2.569,2.5626,2.5537,2.5452
2/13/2023,2.706,2.6928,2.6724,2.6422,2.6232,2.6069,2.5986,2.5928,2.5875,2.5808,2.5716,2.5628
2/14/2023,2.714,2.6992,2.6773,2.6451,2.6247,2.6086,2.599,2.5908,2.582,2.5746,2.5658,2.5564
2/15/2023,2.6835,2.6702,2.65,2.6217,2.6039,2.5903,2.5818,2.5742,2.5672,2.5616,2.5535,2.5455
2/16/2023,2.6724,2.6601,2.641,2.614,2.5977,2.5843,2.5754,2.5679,2.5611,2.5556,2.5477,2.5397
2/17/2023,2.6248,2.6145,2.597,2.572,2.5577,2.5462,2.5389,2.5322,2.5261,2.5212,2.5138,2.5062
2/18/2023,2.6248,2.6145,2.597,2.572,2.5577,2.5462,2.5389,2.5322,2.5261,2.5212,2.5138,2.5062
2/19/2023,2.6248,2.6145,2.597,2.572,2.5577,2.5462,2.5389,2.5322,2.5261,2.5212,2.5138,2.5062
2/20/2023,2.6248,2.6145,2.597,2.572,2.5577,2.5462,2.5389,2.5322,2.5261,2.5212,2.5138,2.5062
2/21/2023,2.6431,2.6311,2.6114,2.5833,2.5667,2.5543,2.5459,2.5379,2.5305,2.5249,2.5177,2.5102
2/22/2023,2.5874,2.5773,2.5597,2.5347,2.521,2.5103,2.5025,2.4947,2.4875,2.4822,2.4755,2.468
2/23/2023,2.6014,2.5935,2.578,2.554,2.5406,2.5304,2.5232,2.5169,2.5118,2.5083,2.5028,2.4963
2/24/2023,2.6327,2.6235,2.6081,2.5835,2.5696,2.5578,2.549,2.5412,2.5356,2.5308,2.5256,2.5201
2/25/2023,2.6327,2.6235,2.6081,2.5835,2.5696,2.5578,2.549,2.5412,2.5356,2.5308,2.5256,2.5201
2/26/2023,2.6327,2.6235,2.6081,2.5835,2.5696,2.5578,2.549,2.5412,2.5356,2.5308,2.5256,2.5201
2/27/2023,2.6319,2.6225,2.607,2.5834,2.5705,2.5591,2.5506,2.5416,2.5338,2.5261,2.5191,2.5128
2/28/2023,2.6503,2.6395,2.6217,2.5959,2.5812,2.568,2.5573,2.547,2.5363,2.526,2.5173,2.5101
