Date,F,G,H,J,K,M,N,Q,U,V,X,Z
1/1/2020,1.5752,1.5782,1.5919,1.7647,1.7748,1.7656,1.7456,1.7155,1.679,1.5401,1.4988,1.4645
1/2/2020,1.5851,1.5881,1.6018,1.7746,1.7847,1.7755,1.7555,1.7254,1.6889,1.55,1.5087,1.4744
1/3/2020,1.6146,1.6169,1.6273,1.7997,1.8085,1.7983,1.7763,1.7471,1.7105,1.5715,1.5301,1.4947
1/4/2020,1.6146,1.6169,1.6273,1.7997,1.8085,1.7983,1.7763,1.7471,1.7105,1.5715,1.5301,1.4947
1/5/2020,1.6146,1.6169,1.6273,1.7997,1.8085,1.7983,1.7763,1.7471,1.7105,1.5715,1.5301,1.4947
1/6/2020,1.6214,1.6228,1.6323,1.8043,1.8123,1.8014,1.7789,1.7492,1.7126,1.5736,1.5322,1.4968
1/7/2020,1.6032,1.6043,1.6132,1.7851,1.793,1.7818,1.7588,1.7286,1.692,1.553,1.5116,1.4762
1/8/2020,1.543,1.5446,1.5552,1.7272,1.7352,1.7243,1.7027,1.6739,1.6387,1.501,1.461,1.427
1/9/2020,1.5514,1.5532,1.5642,1.7367,1.7451,1.7353,1.7137,1.6849,1.6497,1.512,1.472,1.438
1/10/2020,1.5462,1.5477,1.5588,1.7315,1.7401,1.7305,1.7091,1.6806,1.6456,1.5081,1.4683,1.4345
1/11/2020,1.5462,1.5477,1.5588,1.7315,1.7401,1.7305,1.7091,1.6806,1.6456,1.5081,1.4683,1.4345
1/12/2020,1.5462,1.5477,1.5588,1.7315,1.7401,1.7305,1.7091,1.6806,1.6456,1.5081,1.4683,1.4345
1/13/2020,1.533,1.5336,1.5441,1.7174,1.7266,1.7183,1.6969,1.6683,1.6333,1.4949,1.4559,1.4254
1/14/2020,1.5319,1.5317,1.5414,1.7151,1.7246,1.7169,1.6962,1.6683,1.6339,1.4964,1.4581,1.4309
1/15/2020,1.5215,1.5212,1.5315,1.7065,1.7166,1.7118,1.6913,1.6638,1.6292,1.4912,1.4548,1.4293
1/16/2020,1.5304,1.5297,1.54,1.7152,1.7254,1.7207,1.7003,1.672,1.6366,1.4976,1.4612,1.4357
1/17/2020,1.5271,1.5262,1.536,1.7115,1.7209,1.7162,1.696,1.6679,1.6327,1.494,1.4578,1.4325
1/18/2020,1.5271,1.5262,1.536,1.7115,1.7209,1.7162,1.696,1.6679,1.6327,1.494,1.4578,1.4325
1/19/2020,1.5271,1.5262,1.536,1.7115,1.7209,1.7162,1.696,1.6679,1.6327,1.494,1.4578,1.4325
1/20/2020,1.5271,1.5262,1.536,1.7115,1.7209,1.7162,1.696,1.6679,1.6327,1.494,1.4578,1.4325
1/21/2020,1.5306,1.5295,1.539,1.7147,1.7243,1.7198,1.6996,1.6715,1.6363,1.4976,1.4614,1.4361
1/22/2020,1.4976,1.4973,1.5087,1.6849,1.6961,1.6918,1.6718,1.6423,1.6071,1.4684,1.4323,1.4098
1/23/2020,1.4724,1.4728,1.4845,1.6608,1.6722,1.6674,1.6474,1.618,1.5832,1.4445,1.4084,1.3859
1/24/2020,1.4285,1.4301,1.4418,1.6179,1.629,1.623,1.604,1.5756,1.5438,1.4088,1.375,1.3544
1/25/2020,1.4285,1.4301,1.4418,1.6179,1.629,1.623,1.604,1.5756,1.5438,1.4088,1.375,1.3544
